    IVox Add Points,     Incremental Mapping,     ObsModel (IEKF Build Jacobian),     ObsModel (Lidar Match), Downsample PointCloud, IEKF Solve and Update, Laser Mapping Single Run, Preprocess (Livox), Undistort Pcl, 
0.007368,0.021339,0.008677,0.017406,0.014408,0.321994,0.617891,0.042445,0.078626,
0.009375,0.026815,0.009222,0.036957,0.020161,0.366233,0.512802,0.029783,0.079087,
0.009618,0.02964,0.009345,0.048224,0.020903,0.370185,0.554199,0.027917,0.085839,
0.005486,0.017667,0.008267,0.008745,0.009655,0.307594,0.453374,0.031115,0.079064,
0.014308,0.040265,0.008798,0.008115,0.030961,0.487455,0.546915,0.026293,0.069007,
0.002704,0.008919,0.008266,0.037634,0.007523,0.243233,0.682046,0.036169,0.113015,
0.01219,0.035197,0.010149,0.04581,0.027295,0.485194,0.288784,0.029294,0.03964,
0.005655,0.023009,0.008315,0.008996,0.017965,0.346921,0.697362,0.031676,0.100674,
0.005313,0.017589,0.008696,0.009483,0.013854,0.291864,0.477822,0.028757,0.081568,
0.007428,0.025555,0.007255,0.03648,0.020948,0.359844,0.566461,0.029924,0.071149,
0.00865,0.026269,0.009128,0.045755,0.017841,0.389575,0.620644,0.0758,0.087831,
0.008872,0.027641,0.008417,0.008495,0.022866,0.382997,0.459896,0.027578,0.073436,
0.005165,0.019814,0.007943,0.009814,0.016386,0.334641,0.550146,0.030096,0.090988,
0.007074,0.024107,0.009699,0.034823,0.014859,0.374731,0.479615,0.030512,0.077511,
0.012916,0.037262,0.010193,0.065812,0.031907,0.491752,0.53704,0.027347,0.073957,
0.001906,0.006444,0.008867,0.018098,0.005578,0.22347,0.5406,0.030883,0.110521,
0.010113,0.035074,0.010179,0.01116,0.030821,0.490586,0.441678,0.026657,0.04553,
0.004334,0.019181,0.011368,0.05539,0.014065,0.33818,0.717634,0.033916,0.109889,
0.005633,0.021739,0.005357,0.025654,0.018409,0.356875,0.342958,0.027216,0.071203,
0.007477,0.0253,0.003952,0.005624,0.0214,0.353855,0.690372,0.029771,0.080968,
0.006315,0.023467,0.006293,0.00571,0.016545,0.355312,0.513256,0.031831,0.091349,
0.005086,0.022468,0.004215,0.017997,0.021713,0.383615,0.434837,0.029982,0.074081,
0.005432,0.017822,0.00934,0.065654,0.013183,0.307548,0.534362,0.029965,0.091746,
0.006123,0.024316,0.010336,0.012109,0.020336,0.370719,0.545569,0.02959,0.060517,
0.011184,0.033905,0.008981,0.011053,0.024869,0.443151,0.564197,0.028811,0.101997,
0.004147,0.013943,0.010448,0.052431,0.009065,0.229436,0.490828,0.031324,0.084098,
0.009104,0.03362,0.009178,0.053104,0.032152,0.487589,0.530927,0.032447,0.06759,
0.002923,0.011624,0.009384,0.008789,0.009457,0.272938,0.714209,0.0322,0.117541,
0.008636,0.030267,0.008134,0.00755,0.02619,0.411911,0.327137,0.028201,0.0453,
0.00525,0.023075,0.009202,0.044995,0.019112,0.364091,0.706247,0.027883,0.105452,
0.004323,0.016538,0.007644,0.046011,0.013633,0.311502,0.48908,0.031897,0.084873,
0.006123,0.023869,0.007274,0.007133,0.021011,0.371864,0.518531,0.030005,0.071462,
0.006251,0.025006,0.009158,0.038205,0.016597,0.360795,0.531417,0.029765,0.090294,
0.007685,0.026316,0.008289,0.007803,0.022302,0.475253,0.506059,0.026798,0.072326,
0.00626,0.023459,0.008796,0.059026,0.018424,0.349647,0.563072,0.032479,0.092956,
0.004776,0.019825,0.00964,0.008476,0.01272,0.341588,0.439234,0.028955,0.072495,
0.011278,0.037114,0.008502,0.00832,0.031423,0.750029,0.556247,0.028461,0.076976,
0.001523,0.005317,0.008246,0.039062,0.005618,0.206566,0.632908,0.033117,0.110893,
0.006429,0.029544,0.009293,0.050412,0.029791,0.470697,0.361703,0.027583,0.0362,
0.005238,0.020925,0.007727,0.008413,0.014307,0.359019,0.714077,0.031423,0.116256,
0.005122,0.019419,0.006917,0.009123,0.015923,0.319677,0.387803,0.030196,0.073886,
0.005331,0.024412,0.009195,0.041205,0.022211,0.372621,0.616583,0.030783,0.075988,
0.004983,0.023494,0.00942,0.05477,0.01688,0.357176,0.536273,0.032708,0.092241,
0.004692,0.022297,0.007641,0.008776,0.022638,0.365892,0.72871,0.027329,0.073303,
0.004799,0.01638,0.009594,0.040012,0.013631,0.301228,0.561159,0.043213,0.092412,
0.004239,0.022899,0.00965,0.008779,0.018139,0.37064,0.526268,0.028403,0.062213,
0.00887,0.032035,0.009674,0.040058,0.027237,0.458458,0.657255,0.030029,0.090234,
0.001554,0.007016,0.006395,0.010387,0.005744,0.230838,0.506319,0.031645,0.09266,
0.00729,0.032123,0.008185,0.009006,0.033199,0.511615,0.48627,0.026932,0.059933,
0.003535,0.014216,0.007797,0.028006,0.011137,0.286399,0.971449,0.031338,0.114797,
0.006615,0.027249,0.009565,0.045707,0.024662,0.408608,0.299579,0.029338,0.049467,
0.003984,0.020974,0.010635,0.012501,0.020283,0.355279,0.68626,0.028173,0.098721,
0.004471,0.018414,0.012681,0.008264,0.0181,0.32706,0.507843,0.028186,0.087032,
0.004173,0.021805,0.008522,0.038166,0.020432,0.373195,0.47726,0.038037,0.074696,
0.005226,0.020058,0.010291,0.065649,0.015223,0.340089,0.553403,0.031527,0.080494,
0.005297,0.022371,0.009676,0.013407,0.021728,0.36902,0.50852,0.028149,0.07949,
0.005839,0.02524,0.009506,0.011229,0.020391,0.387688,0.540339,0.028663,0.088523,
0.005169,0.019447,0.010051,0.049239,0.011954,0.277517,0.435961,0.031031,0.076237,
0.009122,0.035445,0.006809,0.032801,0.032842,0.489392,0.538118,0.025429,0.07481,
0.001873,0.006216,0.006406,0.007748,0.005935,0.210073,0.650226,0.029446,0.115944,
0.005881,0.029949,0.005388,0.006378,0.031178,0.492304,0.347928,0.028335,0.036541,
0.004128,0.019268,0.006938,0.021359,0.016129,0.348645,0.736224,0.032087,0.120524,
0.003389,0.017333,0.009257,0.064624,0.015312,0.316235,0.405218,0.029835,0.079002,
0.003802,0.02171,0.009995,0.010979,0.020809,0.371589,0.597309,0.029056,0.066632,
0.00481,0.022902,0.010272,0.010591,0.01692,0.372818,0.526188,0.030756,0.088537,
0.005083,0.023601,0.010233,0.048782,0.023353,0.390232,0.47446,0.026767,0.074678,
0.002769,0.015403,0.006717,0.029574,0.013806,0.316154,0.535193,0.029993,0.094677,
0.003308,0.021388,0.008378,0.00847,0.015828,0.309866,0.494872,0.029689,0.062397,
0.008245,0.031412,0.006414,0.008391,0.028457,0.486414,0.53951,0.029013,0.084304,
0.000609,0.005904,0.006789,0.032811,0.006093,0.180354,0.550615,0.031606,0.10717,
0.007958,0.032944,0.008326,0.061097,0.033368,0.486522,0.42322,0.027162,0.038096,
0.003279,0.016235,0.007411,0.009368,0.012846,0.321574,0.715417,0.030084,0.120615,
0.004004,0.025181,0.008827,0.008721,0.021042,0.392521,0.305538,0.03024,0.058194,
0.004357,0.021964,0.01104,0.07369,0.020216,0.29907,0.715702,0.031274,0.09438,
0.002837,0.017637,0.009243,0.047091,0.016815,0.892898,0.511201,0.032187,0.089325,
0.004614,0.022562,0.008369,0.008022,0.020608,0.380667,0.452453,0.028092,0.079615,
0.005478,0.019766,0.008432,0.007424,0.014,0.325923,0.54141,0.029882,0.080941,
0.003591,0.021786,0.008367,0.041144,0.021547,0.410429,0.529309,0.031567,0.078762,
0.005423,0.024794,0.009134,0.044209,0.023325,0.405239,0.585794,0.027994,0.091334,
0.00392,0.016701,0.008825,0.009587,0.009984,0.261411,0.453072,0.033697,0.078782,
0.006357,0.031584,0.006641,0.009079,0.032402,0.542449,0.467009,0.025356,0.069167,
0.002261,0.009101,0.008381,0.035137,0.007865,0.201647,0.697066,0.032544,0.113192,
0.004765,0.027891,0.009931,0.054976,0.02708,0.463634,0.275226,0.026955,0.044754,
0.003702,0.019427,0.009747,0.009025,0.017638,0.389285,0.714985,0.028819,0.111258,
0.002748,0.015509,0.009397,0.009243,0.015425,0.314157,0.455433,0.031608,0.080976,
0.002598,0.020088,0.010318,0.0438,0.021313,0.365439,0.57054,0.027733,0.07574,
0.003311,0.020345,0.008985,0.042819,0.016393,0.389262,0.475651,0.033411,0.086595,
0.003716,0.022077,0.007347,0.008819,0.023351,0.393948,1.04606,0.02874,0.072704,
0.004137,0.018096,0.008117,0.008357,0.014989,0.377137,0.545754,0.030212,0.093639,
0.002646,0.019453,0.00887,0.037792,0.015197,0.36991,0.479378,0.030485,0.068052,
0.005369,0.029284,0.010118,0.04825,0.030378,0.49842,0.584867,0.029643,0.083482,
0.001051,0.005678,0.008197,0.007571,0.005575,0.178115,0.572128,0.030386,0.109645,
0.006235,0.030247,0.009262,0.04266,0.031989,0.481639,0.394561,0.027242,0.037554,
0.003818,0.017601,0.010979,0.00847,0.013389,0.329125,0.760891,0.029964,0.123407,
0.00344,0.019186,0.008853,0.054397,0.020539,0.351943,0.312819,0.030039,0.070124,
0.004301,0.02176,0.007701,0.00917,0.020754,0.374077,0.670152,0.029389,0.085539,
0.004113,0.020564,0.009392,0.009443,0.016397,0.347411,0.550177,0.030962,0.086281,
0.00284,0.02057,0.008106,0.04283,0.022945,0.38183,0.46254,0.031146,0.074674,
0.004064,0.016548,0.009592,0.039703,0.013196,0.311565,0.534342,0.029815,0.09529,
0.004159,0.023313,0.006672,0.008598,0.021293,0.509192,0.536861,0.029948,0.064372,
0.005533,0.026196,0.007945,0.031793,0.023846,0.431193,0.570615,0.02799,0.091244,
0.002375,0.013419,0.007127,0.008223,0.010026,0.298336,0.526147,0.035642,0.090199,
0.004258,0.029217,0.017369,0.06476,0.032033,0.500488,0.524553,0.027511,0.058331,
0.001768,0.011225,0.010502,0.01762,0.009485,0.222687,0.709706,0.030035,0.117598,
0.005031,0.027343,0.010071,0.015936,0.026381,0.46549,0.274294,0.02779,0.044542,
0.003543,0.019652,0.009357,0.063527,0.018726,0.29638,0.707522,0.028764,0.101875,
0.002311,0.01581,0.005318,0.02542,0.015112,0.32191,0.475464,0.030142,0.083369,
0.004108,0.022318,0.00541,0.005399,0.020965,0.3744,0.513899,0.028065,0.07238,
0.003931,0.019376,0.005942,0.02491,0.015359,0.283795,0.541761,0.029576,0.079215,
0.004144,0.022836,0.005483,0.006072,0.023308,0.380254,0.497121,0.029051,0.078241,
0.003637,0.019543,0.010002,0.065064,0.017447,0.343453,0.561324,0.028825,0.093674,
0.003777,0.019954,0.009814,0.019194,0.013537,0.364346,0.458939,0.030544,0.06964,
0.006352,0.030762,0.008917,0.010475,0.031746,0.487453,0.681045,0.02696,0.078549,
0.00128,0.006327,0.0101,0.062301,0.006048,0.171882,0.613705,0.03119,0.111606,
0.006974,0.031149,0.008175,0.050593,0.030765,0.499098,0.424089,0.029675,0.037077,
0.002893,0.017259,0.008742,0.008014,0.014651,0.342903,0.72271,0.030484,0.115234,
0.003389,0.017652,0.008427,0.008729,0.017139,0.335596,0.335927,0.029219,0.073674,
0.001788,0.01949,0.008645,0.037322,0.020259,0.689002,0.659002,0.027888,0.080431,
0.003427,0.020732,0.007693,0.039809,0.0168,0.374177,0.464438,0.032961,0.089323,
0.004069,0.022289,0.010227,0.009104,0.02508,0.404425,0.461553,0.026447,0.074701,
0.00464,0.017015,0.008038,0.008057,0.012876,0.252704,0.535004,0.029875,0.102246,
0.004024,0.022659,0.009837,0.030992,0.019194,0.394587,0.439325,0.030095,0.056612,
0.004814,0.02657,0.010169,0.053269,0.02769,0.498164,0.563418,0.029447,0.092633,
0.001478,0.008965,0.057221,0.010729,0.008812,0.21722,0.491598,0.030515,0.100454,
0.006842,0.03693,0.009405,0.01653,0.032092,0.432907,0.513312,0.027538,0.052574,
0.004112,0.016147,0.008776,0.044559,0.009667,0.313354,0.702761,0.029628,0.115459,
0.004325,0.025572,0.009468,0.048724,0.023842,0.439167,0.267813,0.027269,0.062485,
0.002888,0.019137,0.009601,0.008312,0.018964,0.303576,0.717119,0.02907,0.092655,
0.003382,0.016513,0.007924,0.009369,0.014978,0.335957,0.495285,0.032585,0.08431,
0.003339,0.021478,0.008579,0.039878,0.022004,0.400542,0.486535,0.027059,0.073302,
0.004542,0.019187,0.01031,0.050494,0.013831,0.43837,0.861654,0.033573,0.090604,
0.003879,0.022596,0.013746,0.011463,0.023058,0.406834,1.05371,0.029455,0.069734,
0.003396,0.021222,0.00869,0.008737,0.0183,0.384355,0.599597,0.034538,0.095104,
0.004042,0.01916,0.009792,0.04304,0.012539,0.362861,0.378952,0.029048,0.073442,
0.006743,0.031151,0.008438,0.03959,0.031465,0.520089,0.568775,0.029486,0.074768,
0.001696,0.00673,0.006415,0.008716,0.006217,0.182196,0.693097,0.029453,0.115981,
0.004063,0.027214,0.006802,0.008612,0.028709,0.403408,0.330301,0.030019,0.037962,
0.00278,0.017992,0.006979,0.031812,0.015544,0.371008,0.661222,0.030624,0.112079,
0.002524,0.016706,0.010679,0.052538,0.016493,0.362981,0.44464,0.029097,0.079497,
0.001942,0.018376,0.009845,0.01502,0.020347,0.379846,0.623011,0.030238,0.076862,
0.003574,0.020867,0.008666,0.013315,0.016291,0.311719,0.469002,0.032039,0.077791,
0.001976,0.021117,0.020179,0.039203,0.025533,0.402403,0.483299,0.031822,0.080677,
0.002482,0.01463,0.012064,0.063738,0.013027,0.31368,0.577989,0.032414,0.103392,
0.003343,0.02027,0.011721,0.017945,0.016173,0.387737,0.584152,0.032404,0.059742,
0.004492,0.026036,0.010077,0.015181,0.028499,0.523922,0.598761,0.028968,0.085787,
0.000907,0.006263,0.010399,0.055568,0.006859,0.226269,0.541194,0.03411,0.103615,
0.004482,0.02915,0.005814,0.027698,0.032367,0.523947,0.512023,0.032416,0.037596,
0.003276,0.016108,0.004401,0.004214,0.012208,0.32475,0.74131,0.031578,0.120906,
0.002566,0.021971,0.006,0.025445,0.022288,0.405474,0.283988,0.026033,0.067212,
0.002558,0.019636,0.01028,0.066865,0.018919,0.29584,0.613006,0.029023,0.088263,
0.001975,0.016566,0.010467,0.019859,0.015336,0.355674,0.528638,0.031411,0.083966,
0.003524,0.025333,0.009355,0.01366,0.022567,0.412254,0.511943,0.029977,0.074502,
0.003351,0.016064,0.013152,0.063764,0.012409,0.334189,0.538017,0.032464,0.094919,
0.004041,0.023356,0.008259,0.04602,0.021618,0.436395,0.467204,0.029403,0.065603,
0.003328,0.021688,0.007886,0.009715,0.022527,0.395074,0.593377,0.030749,0.092668,
0.003969,0.018483,0.008332,0.038962,0.011122,0.341115,0.447111,0.032573,0.08094,
0.004555,0.027818,0.0075,0.007823,0.031649,0.409088,0.545924,0.02747,0.069116,
0.002714,0.010457,0.009825,0.052084,0.006862,0.216086,0.724221,0.031205,0.111271,
0.005391,0.029477,0.012842,0.010067,0.026729,0.48745,0.323928,0.030631,0.055636,
0.001861,0.016911,0.009412,0.011429,0.016706,0.360436,0.749786,0.032313,0.106846,
0.002399,0.015059,0.011006,0.041876,0.01572,0.320297,0.462491,0.028021,0.078291,
0.001964,0.019762,0.008954,0.060229,0.020655,0.372446,0.576831,0.028864,0.077466,
0.001993,0.01757,0.043632,0.010116,0.014653,0.283333,0.459277,0.03142,0.089381,
0.004906,0.023026,0.01053,0.015846,0.023714,0.393505,0.497895,0.027371,0.069307,
0.003636,0.018282,0.008131,0.044295,0.014251,0.276671,0.595662,0.030003,0.098316,
0.003516,0.020776,0.008263,0.042661,0.016142,0.383672,0.470529,0.030692,0.064213,
0.004279,0.027132,0.00943,0.007992,0.030065,0.480377,0.615531,0.029195,0.082048,
0.002301,0.008096,0.00665,0.008246,0.006055,0.17955,0.562868,0.032419,0.106205,
0.00559,0.029796,0.009136,0.033521,0.030407,0.491432,0.476547,0.026486,0.036475,
0.002283,0.016518,0.01084,0.05024,0.013136,0.353147,0.622756,0.030455,0.11737,
0.002177,0.018167,0.014013,0.009763,0.020169,0.362249,0.335749,0.029324,0.07135,
0.002184,0.018973,0.007701,0.043465,0.019619,0.374808,0.689381,0.028536,0.0841,
0.003562,0.020555,0.00848,0.00753,0.015462,0.400388,0.514938,0.030331,0.084473,
0.003846,0.022882,0.008907,0.044101,0.026603,0.427967,0.46298,0.026201,0.072454,
0.002025,0.013723,0.009709,0.007705,0.011355,0.307046,0.542678,0.030317,0.096593,
0.005196,0.024468,0.010385,0.009304,0.022058,0.416644,0.421367,0.027675,0.063666,
0.004021,0.023868,0.007553,0.033338,0.024716,0.40416,0.577215,0.028207,0.090583,
0.002568,0.014111,0.009982,0.05014,0.010482,0.313676,0.431351,0.034899,0.092741,
0.004492,0.033775,0.007724,0.009309,0.033091,0.503977,0.538928,0.026608,0.058004,
0.002267,0.012602,0.01077,0.039913,0.008402,0.246178,0.684412,0.029875,0.114018,
0.003569,0.025523,0.008399,0.010242,0.026961,0.875184,0.274938,0.027281,0.058338,
0.002383,0.017867,0.009617,0.05235,0.018605,0.390817,0.714279,0.031916,0.09542,
0.002627,0.015677,0.00904,0.009274,0.015415,0.334216,0.496094,0.029133,0.083057,
0.002423,0.020596,0.009591,0.043072,0.022255,0.40486,0.520755,0.02695,0.077284,
0.001887,0.017179,0.008267,0.009117,0.013918,0.296268,0.537778,0.030942,0.091988,
0.002352,0.021407,0.009559,0.038668,0.025069,0.414506,0.547387,0.028943,0.067752,
0.004039,0.019139,0.007025,0.009219,0.016989,0.353521,0.664088,0.080435,0.104,
0.002385,0.020547,0.008564,0.028871,0.015066,0.377628,0.440393,0.03051,0.067633,
0.005581,0.028651,0.007528,0.007995,0.031277,0.535898,0.594968,0.030654,0.079638,
0.000646,0.006092,0.010894,0.071036,0.006212,0.17859,0.585701,0.030574,0.114431,
0.005413,0.02985,0.010792,0.017689,0.029099,0.718416,0.439316,0.030004,0.039427,
0.002925,0.016831,0.010361,0.015675,0.017643,0.275039,0.727102,0.029909,0.113373,
0.002643,0.018222,0.01023,0.064486,0.017594,0.348519,0.369564,0.029815,0.073666,
0.002392,0.019569,0.005535,0.02833,0.020093,0.377273,1.06372,0.02919,0.081245,
0.002874,0.020412,0.00584,0.005422,0.01563,0.37828,0.557371,0.034765,0.077553,
0.001936,0.02158,0.005745,0.026793,0.025651,0.421058,0.480398,0.02781,0.081758,
0.002849,0.014982,0.006928,0.006385,0.011502,0.249203,0.58253,0.03331,0.10183,
0.002978,0.021035,0.010942,0.109085,0.019544,0.390589,0.435335,0.029712,0.056363,
0.003447,0.023938,0.011124,0.022092,0.025059,0.432569,0.608204,0.029928,0.093483,
0.001237,0.009647,0.010565,0.012357,0.009452,0.308847,0.500406,0.03207,0.097124,
0.004901,0.029011,0.009923,0.055888,0.030228,0.508457,0.530869,0.028324,0.055199,
0.001525,0.013,0.008774,0.048191,0.009189,0.297796,0.75641,0.035273,0.112169,
0.003666,0.023896,0.007918,0.010451,0.023334,0.429834,0.277832,0.026848,0.059788,
0.002142,0.017961,0.007873,0.007102,0.017049,0.357412,0.931603,0.029604,0.092167,
0.001971,0.015341,0.009067,0.039607,0.01533,0.344095,0.429121,0.031367,0.081361,
0.003153,0.022481,0.007216,0.038361,0.023249,0.411484,0.500759,0.026272,0.074208,
0.002825,0.015689,0.007207,0.007359,0.013027,0.268603,0.535336,0.030871,0.09496,
0.003078,0.021981,0.007523,0.031154,0.024014,0.394496,0.53368,0.028986,0.064464,
0.002425,0.019681,0.007465,0.007786,0.018123,0.380472,0.610717,0.029053,0.097407,
0.001297,0.016446,0.010848,0.051903,0.012717,0.347602,0.374583,0.030455,0.081047,
0.005511,0.029241,0.008253,0.008005,0.030396,0.515567,0.578555,0.027921,0.065201,
0.000786,0.006756,0.010489,0.042007,0.007805,0.18479,0.623216,0.031295,0.113215,
0.004811,0.028513,0.007394,0.007385,0.028843,0.485507,0.424533,0.029484,0.051861,
0.001067,0.0149,0.008601,0.072394,0.014962,0.339825,0.719836,0.030065,0.103515,
0.002277,0.0161,0.009879,0.016471,0.017454,0.334279,0.426892,0.03152,0.075726,
0.003853,0.021071,0.008405,0.046462,0.021066,0.418936,0.607231,0.027242,0.078459,
0.002793,0.018983,0.008043,0.009082,0.014869,0.366069,0.515471,0.030602,0.082192,
0.002878,0.022255,0.009439,0.056569,0.02652,0.343027,0.487027,0.028343,0.080043,
0.004115,0.016836,0.009051,0.008782,0.01245,0.321917,0.593693,0.031182,0.103205,
0.004716,0.022997,0.008023,0.008919,0.01908,0.404254,0.400446,0.028828,0.05779,
0.003472,0.023648,0.008688,0.045565,0.028712,0.440992,0.5777,0.030585,0.090153,
0.001103,0.00812,0.008206,0.049934,0.00647,0.252866,0.544348,0.034144,0.112891,
0.004318,0.02906,0.007669,0.007741,0.035312,0.540062,0.475979,0.024781,0.060379,
0.00234,0.015859,0.008221,0.008393,0.011852,0.333049,0.731861,0.031132,0.123547,
0.002887,0.02173,0.009906,0.03803,0.021071,0.420976,0.295897,0.027815,0.066066,
0.002139,0.017579,0.010167,0.057996,0.018417,0.36432,0.685465,0.028,0.08594,
0.001301,0.014601,0.009073,0.009464,0.014853,0.325844,0.487293,0.02862,0.085608,
0.002743,0.023484,0.007687,0.009638,0.024392,0.431085,0.481796,0.02746,0.074069,
0.00285,0.013915,0.008378,0.043352,0.011963,0.25545,0.584022,0.031785,0.096796,
0.002813,0.021129,0.011202,0.071411,0.022718,0.412564,0.521775,0.030031,0.062837,
0.00287,0.020155,0.011861,0.018757,0.021012,0.391604,0.536162,0.030777,0.094319,
0.001535,0.016648,0.009977,0.015794,0.011748,0.349216,0.450475,0.030225,0.08424,
0.002788,0.024823,0.010079,0.063831,0.031551,0.469437,0.579693,0.027777,0.062573,
0.002048,0.010179,0.005904,0.027011,0.008397,0.275164,0.647392,0.031191,0.100851,
0.004194,0.027317,0.004357,0.005524,0.026743,0.481732,0.377231,0.029528,0.053146,
0.001029,0.015354,0.004416,0.006173,0.016302,0.349158,0.77183,0.030609,0.099611,
0.001556,0.014868,0.005079,0.025341,0.015347,0.322666,0.468665,0.029368,0.079584,
0.002629,0.020859,0.01311,0.078788,0.021711,0.329944,0.587731,0.028653,0.075483,
0.002857,0.017903,0.010555,0.019554,0.013231,0.351002,0.530099,0.032681,0.093105,
0.001648,0.020548,0.011196,0.015215,0.025035,0.397206,0.465822,0.027576,0.067617,
0.002285,0.016678,0.010132,0.07013,0.014132,0.3426,0.616336,0.031049,0.102065,
